DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
4,1,4,4,0.091,0.132,0.119,0.096,0.113,0.14,0.09
4,1,4,5,0.132,0.119,0.096,0.113,0.14,0.09,0.127
4,1,3,6,0.119,0.096,0.113,0.14,0.09,0.127,0.136
4,2,3,1,0.096,0.113,0.14,0.09,0.127,0.136,0.077
4,2,3,2,0.113,0.14,0.09,0.127,0.136,0.077,0.133
4,2,4,3,0.14,0.09,0.127,0.136,0.077,0.133,0.123
4,2,3,4,0.09,0.127,0.136,0.077,0.133,0.123,0.092
4,2,4,5,0.127,0.136,0.077,0.133,0.123,0.092,0.13
4,2,3,6,0.136,0.077,0.133,0.123,0.092,0.13,0.111
4,3,3,1,0.077,0.133,0.123,0.092,0.13,0.111,0.101
4,3,3,2,0.133,0.123,0.092,0.13,0.111,0.101,0.11
4,3,3,3,0.123,0.092,0.13,0.111,0.101,0.11,0.132
4,3,3,4,0.092,0.13,0.111,0.101,0.11,0.132,0.104
4,3,4,5,0.13,0.111,0.101,0.11,0.132,0.104,0.116
4,3,4,6,0.111,0.101,0.11,0.132,0.104,0.116,0.141
4,4,2,1,0.101,0.11,0.132,0.104,0.116,0.141,0.08
4,4,4,2,0.11,0.132,0.104,0.116,0.141,0.08,0.125
4,4,3,3,0.132,0.104,0.116,0.141,0.08,0.125,0.123
4,4,4,4,0.104,0.116,0.141,0.08,0.125,0.123,0.098
4,4,3,5,0.116,0.141,0.08,0.125,0.123,0.098,0.125
4,4,3,6,0.141,0.08,0.125,0.123,0.098,0.125,0.114
5,1,4,1,0.08,0.125,0.123,0.098,0.125,0.114,0.114
5,1,3,2,0.125,0.123,0.098,0.125,0.114,0.114,0.104
5,1,4,3,0.123,0.098,0.125,0.114,0.114,0.104,0.141
5,1,3,4,0.098,0.125,0.114,0.114,0.104,0.141,0.107
5,1,4,5,0.125,0.114,0.114,0.104,0.141,0.107,0.111
