KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
1.501,0.381,0.082,0.343,0.187,0.1,0.127
0.381,0.082,0.343,0.187,0.1,0.127,0.135
0.082,0.343,0.187,0.1,0.127,0.135,0.115
0.343,0.187,0.1,0.127,0.135,0.115,0.105
0.187,0.1,0.127,0.135,0.115,0.105,0.32
0.1,0.127,0.135,0.115,0.105,0.32,0.178
0.127,0.135,0.115,0.105,0.32,0.178,0.116
0.135,0.115,0.105,0.32,0.178,0.116,0.108
0.115,0.105,0.32,0.178,0.116,0.108,0.135
0.105,0.32,0.178,0.116,0.108,0.135,0.128
0.32,0.178,0.116,0.108,0.135,0.128,0.091
0.178,0.116,0.108,0.135,0.128,0.091,0.14
0.116,0.108,0.135,0.128,0.091,0.14,0.133
0.108,0.135,0.128,0.091,0.14,0.133,0.125
0.135,0.128,0.091,0.14,0.133,0.125,0.322
0.128,0.091,0.14,0.133,0.125,0.322,0.138
0.091,0.14,0.133,0.125,0.322,0.138,0.1
0.14,0.133,0.125,0.322,0.138,0.1,0.122
0.133,0.125,0.322,0.138,0.1,0.122,0.55
0.125,0.322,0.138,0.1,0.122,0.55,1.212
0.322,0.138,0.1,0.122,0.55,1.212,0.106
0.138,0.1,0.122,0.55,1.212,0.106,0.127
0.1,0.122,0.55,1.212,0.106,0.127,0.143
0.122,0.55,1.212,0.106,0.127,0.143,0.118
0.55,1.212,0.106,0.127,0.143,0.118,0.131
1.212,0.106,0.127,0.143,0.118,0.131,0.143
0.106,0.127,0.143,0.118,0.131,0.143,0.133
0.127,0.143,0.118,0.131,0.143,0.133,0.086
0.143,0.118,0.131,0.143,0.133,0.086,0.133
0.118,0.131,0.143,0.133,0.086,0.133,0.136
0.131,0.143,0.133,0.086,0.133,0.136,0.103
0.143,0.133,0.086,0.133,0.136,0.103,0.113
0.133,0.086,0.133,0.136,0.103,0.113,0.141
0.086,0.133,0.136,0.103,0.113,0.141,0.117
0.133,0.136,0.103,0.113,0.141,0.117,0.101
0.136,0.103,0.113,0.141,0.117,0.101,0.139
0.103,0.113,0.141,0.117,0.101,0.139,0.136
0.113,0.141,0.117,0.101,0.139,0.136,0.082
0.141,0.117,0.101,0.139,0.136,0.082,0.141
0.117,0.101,0.139,0.136,0.082,0.141,0.138
0.101,0.139,0.136,0.082,0.141,0.138,0.304
0.139,0.136,0.082,0.141,0.138,0.304,0.135
0.136,0.082,0.141,0.138,0.304,0.135,0.145
0.082,0.141,0.138,0.304,0.135,0.145,0.121
0.141,0.138,0.304,0.135,0.145,0.121,0.617
0.138,0.304,0.135,0.145,0.121,0.617,1.1
0.304,0.135,0.145,0.121,0.617,1.1,0.124
0.135,0.145,0.121,0.617,1.1,0.124,0.095
0.145,0.121,0.617,1.1,0.124,0.095,0.135
0.121,0.617,1.1,0.124,0.095,0.135,0.129
0.617,1.1,0.124,0.095,0.135,0.129,0.112
1.1,0.124,0.095,0.135,0.129,0.112,0.484
0.124,0.095,0.135,0.129,0.112,0.484,1.135
0.095,0.135,0.129,0.112,0.484,1.135,0.131
0.135,0.129,0.112,0.484,1.135,0.131,0.109
0.129,0.112,0.484,1.135,0.131,0.109,0.138
0.112,0.484,1.135,0.131,0.109,0.138,0.137
0.484,1.135,0.131,0.109,0.138,0.137,0.099
1.135,0.131,0.109,0.138,0.137,0.099,0.125
0.131,0.109,0.138,0.137,0.099,0.125,0.289
0.109,0.138,0.137,0.099,0.125,0.289,0.864
0.138,0.137,0.099,0.125,0.289,0.864,0.18
